Country (Name),State/Province,County,Latitude,Longitude
United States,Georgia,Toombs,32.079500,82.345000
United States,Georgia,Towns,34.920800,83.719000
United States,Georgia,Treutlen,32.387000,82.583000
United States,Georgia,Troup,33.069900,85.023000
United States,Georgia,Turner,31.697700,83.634000
United States,Georgia,Twiggs,32.683600,83.464000
United States,Georgia,Union,34.845800,83.974000
United States,Georgia,Upson,32.904800,84.312000
United States,Georgia,Walker,34.685800,85.355000
United States,Georgia,Walton,33.770900,83.719000
United States,Georgia,Ware,31.134400,82.475000
United States,Georgia,Warren,33.447000,82.691000
United States,Georgia,Washington,32.962700,82.821000
United States,Georgia,Wayne,31.509200,81.909000
United States,Georgia,Webster,32.013000,84.564000
United States,Georgia,Wheeler,32.100000,82.691000
United States,Georgia,White,34.656800,83.719000
United States,Georgia,Whitfield,34.803400,84.981000
United States,Georgia,Wilcox,31.961200,83.464000
United States,Georgia,Wilkes,33.808300,82.777000
United States,Georgia,Wilkinson,32.802500,83.164000
United States,Georgia,Worth,31.528200,83.889000
